match_id,match_date,x,y,xg,is_goal,shot_outcome,shot_body_part,shot_technique,n_defenders_in_cone,n_defenders_closer,dist_nearest_defender,gk_dist_center_goal,gk_dist_to_shooter,n_defenders_total,team_ratio_cone
3773585,2020-10-24,104.5,44.2,0.15770543,0,Saved,Right Foot,Normal,0,3,5.162363799656117,2.7018512172212565,13.6312141792285,8,0.0
3773585,2020-10-24,114.2,48.2,0.1677268,0,Saved,Right Foot,Half Volley,0,2,0.7000000000000028,5.968249324550707,4.110960958218896,8,0.0
3773585,2020-10-24,112.5,33.5,0.16929331,0,Saved,Left Foot,Volley,1,2,8.228000972289687,1.4317821063276335,8.558621384311845,8,0.0
3773585,2020-10-24,112.3,41.6,0.15622824,0,Off T,Head,Normal,1,2,3.8600518131237593,1.5556349186104015,7.130918594402837,8,1.0
3773585,2020-10-24,94.0,40.3,0.04361772,0,Saved,Right Foot,Normal,1,5,5.571355310873651,2.202271554554527,23.803361107205003,6,0.0
3773585,2020-10-24,105.4,42.2,0.29433554,1,Goal,Right Foot,Normal,1,2,2.299999999999997,14.042791745233572,2.332380757938114,6,0.0
3773552,2021-01-03,108.5,33.6,0.14145768,0,Saved,Right Foot,Normal,0,1,1.2206555615733719,11.884864324004717,1.33416640641263,10,0.0
3773552,2021-01-03,118.0,44.2,0.28106615,0,Saved,Right Foot,Backheel,1,1,1.077032961426903,2.6476404589747466,2.193171219946132,9,0.0
3773552,2021-01-03,93.7,29.1,0.022933368,0,Saved,Right Foot,Normal,1,5,1.2999999999999972,3.3241540277189343,25.171610993339296,6,1.0
3773552,2021-01-03,103.6,32.7,0.032397743,0,Saved,Head,Normal,0,2,1.72046505340853,2.280350850198277,15.976545308670458,8,0.0
3773552,2021-01-03,105.8,35.2,0.051326882,0,Saved,Left Foot,Half Volley,3,7,2.0880613017821084,1.6643316977093257,13.727709204379291,10,0.0
3773672,2020-10-04,114.7,35.0,0.1198475,0,Off T,Head,Normal,0,2,1.6763054614240291,3.679673898594822,3.623534186398684,9,0.0
3773672,2020-10-04,100.0,26.0,0.034823347,0,Blocked,Right Foot,Normal,0,7,2.7459060435491955,2.7459060435491938,21.66887168266959,8,0.0
3773672,2020-10-04,109.6,39.2,0.10194666,1,Goal,Left Foot,Half Volley,2,4,1.9235384061671397,2.080865204668485,8.709190547921205,9,0.5
3773672,2020-10-04,97.3,55.9,0.015267702,0,Off T,Right Foot,Half Volley,2,9,7.400675644831361,3.420526275297417,24.29897117163605,9,0.0
3773672,2020-10-04,95.3,41.2,0.04549022,0,Off T,Left Foot,Normal,1,6,4.901020301937144,2.3345235059857474,22.414281161795046,9,0.0
3773672,2020-10-04,112.7,44.4,0.089097686,0,Off T,Head,Normal,0,5,1.4317821063276304,1.9849433241279189,6.576473218982951,9,0.0
3773672,2020-10-04,111.9,44.2,0.083537444,0,Off T,Head,Normal,0,3,0.42426406871192446,1.4866068747318464,7.696752561957544,9,0.0
3773672,2020-10-04,115.9,33.9,0.1521444,0,Off T,Head,Normal,0,1,0.761577310586398,1.5231546211727873,6.126989472816151,9,0.0
3773672,2020-10-04,89.8,40.6,0.025199624,0,Off T,Right Foot,Normal,1,4,1.6124515496597038,2.906888370749732,27.30293024567143,9,0.0
3773587,2020-10-17,110.3,50.1,0.057950504,0,Saved,Right Foot,Half Volley,1,3,2.7018512172212623,4.16773319683494,10.000499987500632,6,0.0
3773587,2020-10-17,99.9,28.8,0.048669264,0,Saved Off Target,Right Foot,Normal,0,5,2.9732137494637016,2.7459060435491938,20.27140843651471,6,0.0
3773587,2020-10-17,106.2,33.3,0.070784174,0,Wayward,Left Foot,Normal,1,5,1.0,3.2802438933713463,12.491997438360285,7,0.0
3773587,2020-10-17,108.8,29.4,0.15459204,0,Saved to Post,Left Foot,Normal,0,1,1.2165525060596472,4.6097722286464435,10.846658471621573,3,0.0
3773587,2020-10-17,103.5,48.0,0.3204304,0,Off T,Right Foot,Normal,0,2,4.220189569201833,7.116881339463236,11.287160847617967,3,0.0
3773587,2020-10-17,89.1,46.2,0.030897133,0,Off T,Left Foot,Normal,1,7,6.435060217278466,1.1045361017187205,30.417922348510274,7,0.0
3773656,2020-11-21,98.8,30.7,0.03962588,0,Saved,Left Foot,Normal,1,7,1.0,2.7802877548915728,20.752349264601346,8,0.0
3773656,2020-11-21,110.2,52.9,0.12261136,0,Post,Right Foot,Normal,0,2,3.2557641192199362,5.499999999999997,10.700467279516348,7,0.0
3773656,2020-11-21,94.9,26.2,0.024586549,0,Off T,Left Foot,Normal,0,6,3.9458839313897727,2.7202941017470916,25.947061490658236,10,1.0
3773656,2020-11-21,88.7,20.6,0.10752832,1,Goal,Right Foot,Normal,0,1,6.946221994724902,45.26599164936077,8.944271909999156,4,0.0
3773656,2020-11-21,105.7,29.0,0.04496801,0,Blocked,Left Foot,Half Volley,1,4,2.6832815729997397,2.8284271247461903,15.241062955056643,7,0.0
3773656,2020-11-21,94.3,43.8,0.037845716,0,Blocked,Right Foot,Normal,1,4,3.067572330035592,3.8600518131237593,22.165062598603235,8,0.0
3773656,2020-11-21,114.1,49.3,0.049725365,0,Wayward,Head,Normal,1,6,0.5830951894845285,3.4999999999999987,7.839005038906404,9,0.0
3773656,2020-11-21,109.5,22.6,0.014155507,0,Off T,Right Foot,Normal,0,7,1.118033988749895,4.049691346263318,16.275441622272496,7,0.0
3773656,2020-11-21,92.6,42.9,0.03224117,0,Blocked,Right Foot,Normal,1,7,2.280350850198279,2.8160255680657467,24.789110512481084,7,0.0
3773656,2020-11-21,103.0,35.9,0.08964235,0,Off T,Right Foot,Half Volley,0,6,2.2135943621178678,2.1213203435596366,15.376930773076927,8,0.0
3773656,2020-11-21,101.4,51.7,0.04672806,0,Blocked,Right Foot,Half Volley,1,2,2.0615528128088285,6.592419889539799,15.520631430454111,6,0.0
