distance_to_goal,angle_to_goal,is_header,is_penalty,is_freekick,is_open_play,x_norm,y_center_dist,distance_sq,n_defenders_in_cone,n_defenders_closer,dist_nearest_defender,gk_dist_center_goal,gk_dist_to_shooter,n_defenders_total,team_ratio_cone,is_goal,xg_statsbomb,xg_xgboost,xg_logreg
27.714617081965972,13.574654229126786,0,0,0,1,0.8108333333333333,15.899999999999999,768.1,2,9,7.400675644831361,3.420526275297417,24.29897117163605,9,0.0,0,0.015267702,0.0042217616,0.004543263743405404
24.72913261721891,18.35611696879552,0,0,0,1,0.7941666666666667,1.2000000000000028,611.5300000000001,1,6,4.901020301937144,2.3345235059857474,22.414281161795046,9,0.0,0,0.04549022,0.0009741687,0.013662086072592295
8.523496934944012,45.8714461774553,1,0,0,1,0.9391666666666667,4.399999999999999,72.64999999999996,0,5,1.4317821063276304,1.9849433241279189,6.576473218982951,9,0.0,0,0.089097686,0.0019147871,0.07058541961152062
9.124143795447326,43.93708023165476,1,0,0,1,0.9325,4.200000000000003,83.24999999999993,0,3,0.42426406871192446,1.4866068747318464,7.696752561957544,9,0.0,0,0.083537444,0.016438134,0.09237369887685594
7.349829930005181,40.78446626087172,1,0,0,1,0.9658333333333334,6.100000000000001,54.01999999999997,0,1,0.761577310586398,1.5231546211727873,6.126989472816151,9,0.0,0,0.1521444,0.17807326,0.13292380321354844
30.205959676858477,15.084074108531256,0,0,0,1,0.7483333333333333,0.6000000000000014,912.4000000000002,1,4,1.6124515496597038,2.906888370749732,27.30293024567143,9,0.0,0,0.025199624,0.001403441,0.015600277683863977
14.003570973148245,23.309844318017674,0,0,0,1,0.9191666666666667,10.100000000000001,196.10000000000008,1,3,2.7018512172212623,4.16773319683494,10.000499987500632,6,0.0,0,0.057950504,0.004794389,0.10748617138772057
23.009780529157588,17.389281815555986,0,0,0,1,0.8325,11.2,529.4499999999997,0,5,2.9732137494637016,2.7459060435491938,20.27140843651471,6,0.0,0,0.048669264,0.0016462541,0.0309279812680395
15.340469353966975,26.718448976804762,0,0,0,1,0.885,6.700000000000003,235.32999999999996,1,5,1.0,3.2802438933713463,12.491997438360285,7,0.0,0,0.070784174,0.0010293513,0.057716448911619624
15.420765220960991,21.997109263798638,0,0,0,1,0.9066666666666666,10.600000000000001,237.8000000000001,0,1,1.2165525060596472,4.6097722286464435,10.846658471621573,3,0.0,0,0.15459204,0.079927474,0.25389018007973624
18.33712082089225,22.40037852721862,0,0,0,1,0.8625,8.0,336.25,0,2,4.220189569201833,7.116881339463236,11.287160847617967,3,0.0,0,0.3204304,0.11537548,0.2561657307636702
31.515869018638856,14.195466930345308,0,0,1,0,0.7424999999999999,6.200000000000003,993.2500000000005,1,7,6.435060217278466,1.1045361017187205,30.417922348510274,7,0.0,0,0.030897133,0.048908006,0.24853164081159998
23.15016198647431,18.06621000808117,0,0,0,1,0.8233333333333334,9.3,535.9300000000002,1,7,1.0,2.7802877548915728,20.752349264601346,8,0.0,0,0.03962588,0.0015887128,0.014078767410784034
16.200308639035242,17.646765568178058,0,0,0,1,0.9183333333333333,12.899999999999999,262.4499999999999,0,2,3.2557641192199362,5.499999999999997,10.700467279516348,7,0.0,0,0.12261136,0.0100472495,0.09381447438002345
28.643498389686965,14.015293454333921,0,0,0,1,0.7908333333333334,13.8,820.4499999999997,0,6,3.9458839313897727,2.7202941017470916,25.947061490658236,10,1.0,0,0.024586549,0.0014964018,0.0024519652314048753
36.824584179593934,10.584155238189439,0,0,0,1,0.7391666666666666,19.4,1356.05,0,1,6.946221994724902,45.26599164936077,8.944271909999156,4,0.0,1,0.10752832,0.9811916,0.9329084951110368
18.041341413542394,20.286347806167303,0,0,0,1,0.8808333333333334,11.0,325.4899999999999,1,4,2.6832815729997397,2.8284271247461903,15.241062955056643,7,0.0,0,0.04496801,0.0011149351,0.04451955319452372
25.979414927977114,17.329018443752272,0,0,0,1,0.7858333333333333,3.799999999999997,674.9300000000001,1,4,3.067572330035592,3.8600518131237593,22.165062598603235,8,0.0,0,0.037845716,0.0027678446,0.02804150814574375
11.013627921806693,24.14397962365116,1,0,0,1,0.9508333333333333,9.299999999999997,121.30000000000001,1,6,0.5830951894845285,3.4999999999999987,7.839005038906404,9,0.0,0,0.049725365,0.0052175066,0.03244974983780668
20.322647465327936,11.946541435770788,0,0,0,1,0.9125,17.4,413.01,0,7,1.118033988749895,4.049691346263318,16.275441622272496,7,0.0,0,0.014155507,0.0034105578,0.01736719487809647
27.5530397597071,16.433566205480737,0,0,0,1,0.7716666666666666,2.8999999999999986,759.1700000000003,1,7,2.280350850198279,2.8160255680657467,24.789110512481084,7,0.0,0,0.03224117,0.0011122804,0.014431398813587563
17.487424052730006,25.13939618189278,0,0,0,1,0.8583333333333333,4.100000000000001,305.80999999999995,0,6,2.2135943621178678,2.1213203435596366,15.376930773076927,8,0.0,0,0.08964235,0.00090455706,0.02897128942909796
21.973848092675983,17.67874095994598,0,0,0,1,0.8450000000000001,11.700000000000003,482.8499999999999,1,2,2.0615528128088285,6.592419889539799,15.520631430454111,6,0.0,0,0.04672806,0.17160018,0.10064358618699924
25.739075352467495,12.62448663051646,0,0,0,1,0.8491666666666667,18.3,662.4999999999997,0,3,1.7262676501631957,3.2526911934581144,22.486440358580545,5,0.0,0,0.022515863,0.0039490326,0.0409175742611415
29.904681907687966,14.79669321154574,0,0,0,1,0.7583333333333333,7.299999999999997,894.29,1,4,7.749193506423745,3.5846896657869807,26.368541863364385,9,0.0,0,0.027199345,0.13598925,0.014702432709790755
